title,company,location
Junior Data Analyst,Livingston Research Group,Гаряча
Data analyst,Renex,
Operational Data Analyst,EvoPlay,Київ
Middle Data Scientist,IT Eva,Дистанційно
Junior Data Analyst,Mitgo,"5,8 км від центру"
Аналітик баз даних,Качай Гроші,Київ
"BI Analyst, Data Visualization Expert",Futurra Group,
Data scientist (CRM project),ЦУМ (Київ),Київ
Адміністратор бази даних,Беліф,VIP
Аналітик консолідованої інформації,Фокстрот,VIP
Адміністратор баз даних,Київстар,Дистанційно
Адміністратор баз даних 1С,"Сузірья, ГК",VIP
Аналітик баз даних,"Нова пошта, ТОВ",VIP
Адміністратор баз даних (Oracle),"Відкриті Публічні Фінанси, ДУ",Київ
Адміністратор бази даних Oracle,Ощадбанк,VIP
Адміністратор баз даних,За результатами співбесіди з технічним спеціалістом,
Аналітик консолідованої інформації,"Региональная газовая компания, ООО","2,2 км від центру"
Data Analyst (Forecasting E-Commerce),Rozetka,VIP
Адміністратор БД Oracle DB,Vodafone Україна,Київ
Data Analyst,Київстар,Дистанційно
Data analyst,"Сільпо, мережа супермаркетів",VIP
Адміністратор баз даних,Український процесінговий центр,Київ
"Data analyst, scientist",Starlight Media,Дистанційно
"Data analyst (управління закупівлями, e-commerce)",Rozetka,VIP
Data analyst,"Starting from €1,000 per month (1st month is probation at €800), might be higher depending on your skills and experience.",
"Обліковець, адміністратор бази даних","Юніон Трейд Плюс, ПП","16,0 км від центру"
Data analyst,lifecell,Київ
Аналітик консолідованої інформації,"Фора, ТОВ",VIP
Адміністратор баз даних MsSQL,"Південний, акціонерний банк",VIP
Адміністратор баз даних (DBA),"БаДМ, ТОВ",VIP
Аналітик консолідованої інформації (продуктова аналітика),"Нова пошта, ТОВ",VIP
Аналітик консолідованої інформації (Оболонь),"Ковальська, ПБГ",Київ
Data Analyst,"Нова пошта, ТОВ",VIP
Администратор баз данных (IT),Интерпайп,Дніпро
Адміністратор бази даних,,
Аналітик консолідованої інформації,"Ковальська, ПБГ",Київ
Database administrator,Транс-Сервіс-1,Львів
Администратор баз данных (IT) в Днепр,Интерпайп,"Дніпро, шукаємо у Кам'янському"
Data analyst,Софтіко,Київ
Адміністратор бази даних,"Добробут, ММ",VIP
"Data analyst, аналітик баз даних",за результатами співбесіди,
DataBase Administrator,DTEK,VIP
ClickHouse Solutions Engineer/DBA,3000-5000 USD,
Аналітик консолідованої інформації,EvoPlay,Київ
Аналітик інформаційної безпеки,MTI Group,Київ
Администратор БД MySQL PHP,Федерація роботодавців ЖКГ України,Дистанційно
Бізнес-аналітик інформаційних систем,"Лозко С.А., ФОП",2 тиж. тому
Адміністратор баз даних,Reelly.io,Дистанційно
Database administrator (Oracle),"Відкриті Публічні Фінанси, ДУ",Київ
Data scientist,Банк Восток,Дистанційно
Junior Data Analyst,Quintagroup,2 тиж. тому
"Адміністратор (БД, MS SQL)","Региональная газовая компания, ООО","2,2 км від центру"
"Программист, аналитик по формированию базы данных (BigQuery PowerBI DataStudio)","Fuperia, LTD",У збережених
"Аналітик, адміністратор, програміст VBA Excel, SEO, контент-менеджер",Data Analysis and Solutions,3 тиж. тому
"Контент-менеджер, аналітик",Data Analysis and Solutions,3 тиж. тому
Аналітик баз даних (Княжичі),Camellia-PR,3 тиж. тому
"Програміст С++, адміністратор баз даних (Postgres SQL)","Центр пробації, ДУ","5,6 км від центру"
"Data Scientist, ML Engineer",Equinox,"2,2 км від центру"
